mid,model_name,CI_readout,est_var,Causal_readout,dec_noise_flag,laps_flag,nConfK
1,baseline_,BayInt,MAP,Bay,1,0,4
2,baseline_,BayInt,PME,Bay,1,0,4
3,baseline_,BayInt,MS,Bay,1,0,4
4,baseline_,BayEst,MAP,Bay,1,0,4
5,baseline_,BayEst,PME,Bay,1,0,4
6,baseline_,BayEst,MS,Bay,1,0,4
7,baseline_,Entro,MAP,Bay,1,0,4
8,baseline_,Entro,PME,Bay,1,0,4
9,baseline_,Entro,MS,Bay,1,0,4
10,baseline_,DistXdiff,MAP,Bay,1,0,4
11,baseline_,DistXdiff,PME,Bay,1,0,4
12,baseline_,DistXdiff,MS,Bay,1,0,4
13,baseline_,DistSdiff,MAP,Bay,1,0,4
14,baseline_,DistSdiff,PME,Bay,1,0,4
15,baseline_,DistSdiff,MS,Bay,1,0,4
16,baseline_,BayInt,MAP,xdiff,1,0,4
17,baseline_,BayInt,PME,xdiff,1,0,4
18,baseline_,BayInt,MS,xdiff,1,0,4
19,baseline_,BayEst,MAP,xdiff,1,0,4
20,baseline_,BayEst,PME,xdiff,1,0,4
21,baseline_,BayEst,MS,xdiff,1,0,4
22,baseline_,Entro,MAP,xdiff,1,0,4
23,baseline_,Entro,PME,xdiff,1,0,4
24,baseline_,Entro,MS,xdiff,1,0,4
25,baseline_,DistXdiff,MAP,xdiff,1,0,4
26,baseline_,DistXdiff,PME,xdiff,1,0,4
27,baseline_,DistXdiff,MS,xdiff,1,0,4
28,baseline_,DistSdiff,MAP,xdiff,1,0,4
29,baseline_,DistSdiff,PME,xdiff,1,0,4
30,baseline_,DistSdiff,MS,xdiff,1,0,4
31,baseline_,BayInt,MAP,sdiff,1,0,4
32,baseline_,BayInt,PME,sdiff,1,0,4
33,baseline_,BayInt,MS,sdiff,1,0,4
34,baseline_,BayEst,MAP,sdiff,1,0,4
35,baseline_,BayEst,PME,sdiff,1,0,4
36,baseline_,BayEst,MS,sdiff,1,0,4
37,baseline_,Entro,MAP,sdiff,1,0,4
38,baseline_,Entro,PME,sdiff,1,0,4
39,baseline_,Entro,MS,sdiff,1,0,4
40,baseline_,DistXdiff,MAP,sdiff,1,0,4
41,baseline_,DistXdiff,PME,sdiff,1,0,4
42,baseline_,DistXdiff,MS,sdiff,1,0,4
43,baseline_,DistSdiff,MAP,sdiff,1,0,4
44,baseline_,DistSdiff,PME,sdiff,1,0,4
45,baseline_,DistSdiff,MS,sdiff,1,0,4
