sub_id,model_id,aic,CI_readout,est_var,Causal_readout,gamma_var
2,1,17203.456774762693,BayIntFlex,MA,Bay,0
2,2,17890.222258389807,BayIntFlex,MS,Bay,0
2,3,16929.307333762263,BayIntFlex,MA,Bay,1
2,4,17141.538518018126,BayIntFlex,MS,Bay,1
2,5,21679.461265031652,NB,MA,NonBayFixSig,0
2,6,21745.629636038007,NB,MS,NonBayFixSig,0
2,7,21687.669402128515,NB,MA,NonBayFixSig,1
2,8,21752.821872381333,NB,MS,NonBayFixSig,1
3,1,16466.24308637666,BayIntFlex,MA,Bay,0
3,2,17038.8124599709,BayIntFlex,MS,Bay,0
3,3,16405.048606057273,BayIntFlex,MA,Bay,1
3,4,16486.825350925265,BayIntFlex,MS,Bay,1
3,5,19786.45533239048,NB,MA,NonBayFixSig,0
3,6,19998.53354981951,NB,MS,NonBayFixSig,0
3,7,19787.83378806383,NB,MA,NonBayFixSig,1
3,8,19833.408439676954,NB,MS,NonBayFixSig,1
5,1,16725.69973273006,BayIntFlex,MA,Bay,0
5,2,17344.569484640608,BayIntFlex,MS,Bay,0
5,3,16488.474928133506,BayIntFlex,MA,Bay,1
5,4,16772.800357506712,BayIntFlex,MS,Bay,1
5,5,19802.32159178094,NB,MA,NonBayFixSig,0
5,6,19947.16620936415,NB,MS,NonBayFixSig,0
5,7,20421.478620437025,NB,MA,NonBayFixSig,1
5,8,20480.336494381412,NB,MS,NonBayFixSig,1
6,1,15501.247177564648,BayIntFlex,MA,Bay,0
6,2,15646.434378827873,BayIntFlex,MS,Bay,0
6,3,15489.990566312246,BayIntFlex,MA,Bay,1
6,4,15511.033698411826,BayIntFlex,MS,Bay,1
6,5,19126.74967670399,NB,MA,NonBayFixSig,0
6,6,19473.49270931575,NB,MS,NonBayFixSig,0
6,7,19060.356225006624,NB,MA,NonBayFixSig,1
6,8,19481.24789262932,NB,MS,NonBayFixSig,1
11,1,16437.37423153329,BayIntFlex,MA,Bay,0
11,2,16512.55042319784,BayIntFlex,MS,Bay,0
11,3,16341.137382031882,BayIntFlex,MA,Bay,1
11,4,16468.794710998205,BayIntFlex,MS,Bay,1
11,5,20221.789475293474,NB,MA,NonBayFixSig,0
11,6,20243.376497962206,NB,MS,NonBayFixSig,0
11,7,20426.575788635964,NB,MA,NonBayFixSig,1
11,8,20244.034631808307,NB,MS,NonBayFixSig,1
15,1,16396.053637421282,BayIntFlex,MA,Bay,0
15,2,17143.19443199044,BayIntFlex,MS,Bay,0
15,3,15532.16343285324,BayIntFlex,MA,Bay,1
15,4,15617.304076038694,BayIntFlex,MS,Bay,1
15,5,19780.504227889458,NB,MA,NonBayFixSig,0
15,6,19775.6379479904,NB,MS,NonBayFixSig,0
15,7,19908.260464296814,NB,MA,NonBayFixSig,1
15,8,19929.129861752546,NB,MS,NonBayFixSig,1
20,1,16101.194132153587,BayIntFlex,MA,Bay,0
20,2,16314.578394635928,BayIntFlex,MS,Bay,0
20,3,16248.298057127504,BayIntFlex,MA,Bay,1
20,4,16355.202924150026,BayIntFlex,MS,Bay,1
20,5,19885.23716538992,NB,MA,NonBayFixSig,0
20,6,20197.629894998976,NB,MS,NonBayFixSig,0
20,7,19887.406376154522,NB,MA,NonBayFixSig,1
20,8,19933.742906310894,NB,MS,NonBayFixSig,1
25,1,17683.68688090595,BayIntFlex,MA,Bay,0
25,2,17635.375940618957,BayIntFlex,MS,Bay,0
25,3,17338.655122991906,BayIntFlex,MA,Bay,1
25,4,17222.281335842807,BayIntFlex,MS,Bay,1
25,5,20783.274877264244,NB,MA,NonBayFixSig,0
25,6,20857.00131848667,NB,MS,NonBayFixSig,0
25,7,20770.60499875128,NB,MA,NonBayFixSig,1
25,8,20851.926931417955,NB,MS,NonBayFixSig,1
