mid,model_name,CI_readout,est_var,Causal_readout,dec_noise_flag,laps_flag,nConfK,gamma_var
1,baseline_,BayIntFlex,MA,Bay,0,0,4,0
2,baseline_,BayIntFlex,MS,Bay,0,0,4,0
3,baseline_,BayIntFlex,MA,Bay,0,0,4,1
4,baseline_,BayIntFlex,MS,Bay,0,0,4,1
5,baseline_,NB,MA,NonBayFixSig,0,0,4,0
6,baseline_,NB,MS,NonBayFixSig,0,0,4,0
7,baseline_,NB,MA,NonBayFixSig,0,0,4,1
8,baseline_,NB,MS,NonBayFixSig,0,0,4,1
9,baseline_,NB,MA,NonBayFleSig,0,0,4,0
10,baseline_,NB,MS,NonBayFleSig,0,0,4,0
11,baseline_,NB,MA,NonBayFleSig,0,0,4,1
12,baseline_,NB,MS,NonBayFleSig,0,0,4,1
13,baseline_,BayIntFix,MA,Bay,0,0,4,0
14,baseline_,BayIntFix,MS,Bay,0,0,4,0
15,baseline_,BayIntFix,MA,Bay,0,0,4,1
16,baseline_,BayIntFix,MS,Bay,0,0,4,1
