exp_name,continous_flag,symetrical_causal_flag,decision_noise_flag,gamma_noise_flag,eccent_sig_flag,eccent_mu_flag,rng_flag,split_data_f,share_prior_f,linear_reduce,no_b_flag,heur_var,NLL_method,nfold_CV,num_sim,model_lst,sub_lst,test_bin
base,1,1,0,0,0,0,0,0,1,0,0,fix_sig,QML,1,10000,"1,2,3,4",,
gamma,1,1,0,1,0,0,0,0,1,0,0,fix_sig,QML,1,10000,"1,2,3,4",,
MNLE_test,1,1,0,0,0,0,0,0,1,0,0,fix_sig,MNLE,1,10000,"1,2,3,4",,
MNLE-base,1,1,0,0,0,0,0,0,1,0,0,fix_sig,MNLE,5,10000,,,
base_clamp,1,1,0,0,0,0,0,0,1,0,0,fix_sig,QML,1,10000,"1,2,3,4",,
eccent,1,1,0,0,1,0,0,0,1,0,0,fix_sig,QML,1,10000,,,
eccent_alp,1,1,0,0,1,0,1,0,1,0,0,fix_sig,QML,1,10000,,,
split_data,1,1,0,0,1,0,1,1,1,0,0,fix_sig,QML,1,10000,1,all,
high_low_vis,1,1,0,0,0,0,0,0,0,0,0,fix_sig,QML,1,10000,1,all,
test_recovery1,1,1,0,0,0,0,0,0,1,0,0,fix_sig,QML,1,10000,,,
test_bin,1,1,0,0,0,0,0,0,1,0,0,fix_sig,QML,1,10000,,,
sep_spatial_sig,1,1,0,0,0,0,1,0,2,0,0,fix_sig,QML,1,10000,1,all,
sep_prior,1,1,0,0,0,0,1,0,3,0,0,fix_sig,QML,1,10000,"1,2,3,4,5,6,7",all,
percept_only,1,1,0,0,1,1,0,2,1,0,0,fix_sig,QML,1,10000,1,all,
percept_only2,1,1,0,0,1,0,0,2,1,0,0,fix_sig,QML,1,10000,1,all-,
percept_only3,2,1,0,0,1,0,0,2,1,0,0,fix_sig,QML,1,10000,1,2,
percept_only4,2,1,0,0,1,0,0,2,0,0,0,fix_sig,QML,1,10000,"1,2,4,6",2,
percept_only5,2,1,0,0,1,0,0,2,3,0,0,fix_sig,QML,1,10000,1,2,
sep_ecc_fix_rng,2,1,0,0,2,0,2,2,0,0,0,fix_sig,QML,1,10000,1,2,
sep_ecc_percep,2,1,0,0,2,0,0,2,0,0,0,fix_sig,QML,1,10000,"1,2,4,6",2,
full_model,1,1,0,0,2,2,0,0,0,0,0,fix_sig,QML,1,10000,2,all,
reduce_model_no_motor,2,1,0,0,1,0,0,0,0,0,0,fix_sig,QML,1,10000,2,all,
reduce_model_no_motor2,2,1,0,0,1,0,1,0,0,0,0,fix_sig,QML,1,10000,2,all,
reduce_model_no_motor3,2,1,0,0,1,0,0,0,3,0,0,fix_sig,QML,1,10000,2,all,10*8*4
reduce_model,1,1,0,0,1,0,1,0,3,0,0,fix_sig,QML,1,10000,2,all,
reduce_model2,1,1,0,0,1,0,1,0,2,0,0,fix_sig,QML,1,10000,2,all,
new_bins_no_motor1,2,1,0,0,1,0,0,0,0,0,0,fix_sig,QML,1,10000,2,all,10*8*6
new_bins_no_motor2,2,1,0,0,1,0,0,0,2,0,0,fix_sig,QML,1,10000,2,all,10*8*6
new_bins_no_motor3,2,1,0,0,1,0,0,0,3,0,0,fix_sig,QML,1,10000,2,all,10*8*6
new_bins_no_motor_rng1,2,1,0,0,1,0,1,0,0,0,0,fix_sig,QML,1,10000,2,all,10*8*6
new_bins_no_motor_rng2,2,1,0,0,1,0,1,0,2,0,0,fix_sig,QML,1,10000,2,all,10*8*6
new_bins_no_motor_rng3,2,1,0,0,1,0,1,0,3,0,0,fix_sig,QML,1,10000,2,all,10*8*6
fixed_bug,2,1,0,0,1,0,1,0,3,0,0,fix_sig,QML,1,10000,2,all,10*8*6
fixed_bug_shift,2,1,0,0,1,1,1,0,3,0,0,fix_sig,QML,1,10000,2,all,10*8*6
fixed_bug_shift1,2,1,0,0,1,2,1,0,3,0,0,fix_sig,QML,1,10000,2,all,10*8*6
test_causal_bin1,2,1,0,0,1,0,1,0,3,0,0,fix_sig,QML,1,10000,2,all,6*6*6
test_causal_bin2,2,1,0,0,1,0,1,0,3,0,0,fix_sig,QML,1,10000,2,all,10*8*4
with_dn,2,1,1,0,1,0,1,0,3,0,0,fix_sig,QML,1,10000,2,all,6*6*6
with_dn_conf,2,1,2,0,1,0,1,0,3,0,0,fix_sig,QML,1,10000,2,all,6*6*6
with_dn_cc,2,1,-2,0,1,0,1,0,3,0,0,fix_sig,QML,1,10000,2,all,6*6*6
with_dn_cons_sig,2,1,1,0,1,0,1,0,1,0,0,fix_sig,QML,1,10000,2,all,6*6*6
with_dn_reduced,2,1,1,0,0,0,0,0,0,0,0,fix_sig,QML,1,10000,2,all,6*6*6
with_dn_ecc,2,1,1,0,1,0,0,0,0,0,0,fix_sig,QML,1,10000,2,all,6*6*6
with_dn_sep_sig,2,1,1,0,0,0,0,0,3,0,0,fix_sig,QML,1,10000,2,all,6*6*6
with_dn_linear,2,1,1,0,1,0,1,0,3,1,0,fix_sig,QML,1,10000,2,all,6*6*6
with_dn_linear_nob,2,1,1,0,1,0,1,0,3,1,1,fix_sig,QML,1,10000,2,all,6*6*6
with_dn_linear_p0,2,1,1,0,1,0,0,0,0,1,0,fix_sig,QML,1,10000,2,all,6*6*6
with_dn_linear_p1,2,1,1,0,1,0,0,0,1,1,0,fix_sig,QML,1,10000,2,all,6*6*6
with_dn_linear_p2,2,1,1,0,1,0,0,0,2,1,0,fix_sig,QML,1,10000,2,all,6*6*6
