----------------------------------------
Start task prologue Fri Jul 17 12:12:26 CEST 2026
----------------------------------------
Step ID:         54295898.
Username:        wenlou
Group:           mpla
Asked resources: walltime=1-00:00:00,nodes=1,cpus=8,mem=2G
Queue:           gpu
Compute nodes:   dccn-c046
----------------------------------------
End task prologue Fri Jul 17 12:12:26 CEST 2026
----------------------------------------
CUDA version:
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2024 NVIDIA Corporation
Built on Thu_Mar_28_02:18:24_PDT_2024
Cuda compilation tools, release 12.4, V12.4.131
Build cuda_12.4.r12.4/compiler.34097967_0

[WARNING] Please note the interface change for (de-)activating conda environment:

  - DO NOT use `conda activate` to enter the conda environment as it requires extra step to modify your ~/.bashrc file, which will force you to use this Anaconda version (2024.06).  Therefore keep using `source activate` instead.

  - DO use `conda deactivate` to leave your conda environment as `source deactivate` will be deprecated in future release.

Running model for expriment=with_dn_cons_sig, m_id=2, method=bads
device is : cuda
['with_dn_cons_sig', '2', 'all', 'bads', '2']

 ------- Start Optimization for Subject 2 ---------- 

 Cross Validation fold 0/1

 -- Start Optimization: method BADS --

 Optimization Run 1/2
Initial params: [0.6558, 7.7793, 8.5586, 4.8464, 4.3267, 36.0406, 3.0427, 0.6941, 21.6081, 0.5603, 0.2209, 0.27, 0.4547]
bads:TooCloseBounds: For each variable, hard and plausible bounds should not be too close. Moving plausible bounds.
Variables (index) internally transformed to log coordinates: [[0 0]
 [0 3]
 [0 5]
 [0 6]]
Beginning optimization of a STOCHASTIC objective function

 Iteration    f-count      E[f(x)]        SD[f(x)]           MeshScale          Method              Actions
     0           1         26151.5             nan               1                                  
     0          33         25311.3             nan               1          Initial mesh            Initial points
     0          45         25006.1         0.99994               1        Successful poll           Train
     1          50         24659.2        0.993342               1      Successful search (ES-wcm)        
     1          54         24568.3        0.995897               1      Successful search (ES-wcm)        
     1          55         24400.7        0.985646               1      Successful search (ES-wcm)        
     1          62         24295.5         0.98886               1      Successful search (ES-wcm)        
     1          64           24174        0.988818               1      Successful search (ES-wcm)        
     1          71         24148.3        0.988349               1      Successful search (ES-wcm)        
     1          77         24077.1        0.988468               1      Successful search (ES-wcm)        
     1          82         24076.6        0.987417               1      Incremental search (ES-wcm)        
     1          83           24064        0.986695               1      Successful search (ES-ell)        
     1          87         24061.9        0.988276               1      Successful search (ES-wcm)        
     1          89         23967.7        0.978404               1      Successful search (ES-wcm)        
     1          98         23894.9        0.978393               1      Successful search (ES-wcm)        
     1          99         23741.7         0.97855               1      Successful search (ES-wcm)        
     1         102         23728.4        0.978452               1      Successful search (ES-wcm)        
     1         104         23671.1        0.978469               1      Successful search (ES-wcm)        
     1         106         23535.1        0.978505               1      Successful search (ES-wcm)        
     1         112         23469.7        0.978468               1      Successful search (ES-wcm)        
     1         115         23458.6        0.990041               1      Successful search (ES-wcm)        
     1         116         23409.9        0.990056               1      Successful search (ES-wcm)        
     1         120         23301.4        0.989877               1      Successful search (ES-ell)        
     1         129         23250.7        0.988031               1      Successful search (ES-ell)        
     1         142         23223.3        0.958148               1      Successful search (ES-ell)        
     1         143           23216        0.959091               1      Successful search (ES-wcm)        
     1         144         23122.4        0.958957               1      Successful search (ES-ell)        
     1         145         23058.2        0.959099               1      Successful search (ES-wcm)        
     1         158         23042.9        0.956218               1      Successful search (ES-wcm)        
     1         162         23034.4         0.94356               1      Successful search (ES-wcm)        
     1         171         23010.8        0.975716               1      Successful search (ES-wcm)        
     1         174         23003.4        0.972116               1      Successful search (ES-wcm)        
     1         187         22996.3        0.880075               1      Successful search (ES-wcm)        
     1         194         22994.5        0.976036               1      Successful search (ES-wcm)        
     1         199         22965.7         2.00971               1      Successful search (ES-wcm)        
     1         214         22959.4         1.91532               1      Successful search (ES-wcm)        
     1         220         22956.8         2.03234               1      Successful search (ES-wcm)        
     1         228           22942         2.04085               1      Successful search (ES-wcm)        
     1         235         22941.9         2.03971               1      Incremental search (ES-wcm)        
     1         238           22898          2.0403               1      Successful search (ES-wcm)        
